id,filename,product_line,indemnity_regime,insurer,cnpj,susep_process,process_year,susep_ramo,susep_subramo,susep_version,version_start_date,page_count,retrieved_at,source_url,selection_rationale,extraction_mode
1,15414610650202459.pdf,CASCO,VD,PORTO SEGURO COMPANHIA DE SEGUROS GERAIS,61198164000160,15414.610650/2024-59,2024,05 | AUTOMÓVEL - CASCO,VALOR DETERMINADO,CG01 Seguro Auto Por Assinatura - 0324.pdf,2024-03-13,45,2026-07-25T19:00:00-03:00,https://www.gov.br/pt-br/servicos/consultar-produtos-susep,Major insurer; agreed-value vs dual-regime pair within the same insurer,text
2,15414603040202237.pdf,CASCO,VD,AZUL COMPANHIA DE SEGUROS GERAIS,33448150000111,15414.603040/2022-37,2022,05 | AUTOMÓVEL - CASCO,VALOR DETERMINADO,Manual Azul Seguro Auto Por Assinatura - Fevereiro 2026 Versão SUSEP.pdf,2026-01-31,35,2026-07-25T19:00:00-03:00,https://www.gov.br/pt-br/servicos/consultar-produtos-susep,Major insurer (Porto group); pure agreed-value regime,text
3,15414630997201951.pdf,CASCO,VD,AKAD SEGUROS S.A.,14868712000131,15414.630997/2019-51,2019,05 | AUTOMÓVEL - CASCO,VALOR DETERMINADO,Condições Auto_Maio 2020.pdf,2020-06-10,29,2026-07-25T19:00:00-03:00,https://www.gov.br/pt-br/servicos/consultar-produtos-susep,Insurtech; own-damage + third-party-liability pair from the same insurer,text
4,15414622449202252.pdf,CASCO,VD,SEGUROS SURA S.A.,33065699000127,15414.622449/2022-52,2022,05 | AUTOMÓVEL - CASCO,VALOR DETERMINADO,Condição Contratual.pdf,2025-12-11,47,2026-07-25T19:00:00-03:00,https://www.gov.br/pt-br/servicos/consultar-produtos-susep,Mid-size insurer; own-damage + third-party-liability pair from the same insurer,text
5,15414638282202241.pdf,CASCO,VD,KOVR SEGURADORA S.A.,42366302000128,15414.638282/2022-41,2022,05 | AUTOMÓVEL - CASCO,VALOR DETERMINADO,0531 - CG_Auto 01.2023.pdf,2023-01-04,27,2026-07-25T19:00:00-03:00,https://www.gov.br/pt-br/servicos/consultar-produtos-susep,Smaller insurer; own-damage + third-party-liability pair from the same insurer,text
6,15414612495202081.pdf,CASCO,VD,Gente Seguradora S.A.,90180605000102,15414.612495/2020-81,2020,05 | AUTOMÓVEL - CASCO,VALOR DETERMINADO,CG-MotorHome (2).pdf,2026-03-20,56,2026-07-25T19:00:00-03:00,https://www.gov.br/pt-br/servicos/consultar-produtos-susep,Smaller insurer; completes the pure agreed-value block,text
7,15414605110202453.pdf,CASCO,VMR,DARWIN SEGUROS S.A.,44187990000194,15414.605110/2024-53,2024,05 | AUTOMÓVEL - CASCO,VALOR DE MERCADO REFERENCIADO,CGs Seguro Automovel Individual Mensal_V.2025.05 Nova Lei do Seguro_FINAL.pdf,2026-03-27,77,2026-07-25T19:00:00-03:00,https://www.gov.br/pt-br/servicos/consultar-produtos-susep,Digital insurtech; third indemnity regime,text
8,15414900414201379.pdf,CASCO,VMR,SUHAI SEGURADORA S.A.,16825255000123,15414.900414/2013-79,2013,05 | AUTOMÓVEL - CASCO,VALOR DE MERCADO REFERENCIADO,CG-GERAL AUTO 2026-03 atualiz CG pgto premio pdf.pdf,2026-03-05,75,2026-07-25T19:00:00-03:00,https://www.gov.br/pt-br/servicos/consultar-produtos-susep,Theft/robbery niche insurer; atypical exclusion profile,text
9,15414900039201618.pdf,CASCO,VMR,CAIXA SEGURADORA S.A.,34020354000110,15414.900039/2016-18,2016,05 | AUTOMÓVEL - CASCO,VALOR DE MERCADO REFERENCIADO,1766510176-cg_auto_Jun2026.pdf,2026-07-24,122,2026-07-25T19:00:00-03:00,https://www.gov.br/pt-br/servicos/consultar-produtos-susep,Bancassurance; own-damage + third-party-liability pair from the same insurer,text
10,15414900666201489.pdf,CASCO,VD+VMR,BRADESCO AUTO/RE COMPANHIA DE SEGUROS,92682038000100,15414.900666/2014-89,2014,05 | AUTOMÓVEL - CASCO,VALOR DETERMINADO E VALOR DE MERCADO REFERENCIADO,CC.pdf,2026-07-11,207,2026-07-25T19:00:00-03:00,https://www.gov.br/pt-br/servicos/consultar-produtos-susep,Major insurer; own-damage + third-party-liability pair from the same insurer,text
